retrieved_at	amazon_job_id	source_record_id	title	location	city	state	country	posted	updated	job_category	business_category	team	schedule_type	manager_status	degree_status	compiler_screening	domain_tags	source_url	source_record_sha256
2026-09-16T15:57:53Z	2989101	380c8a67-4e26-4f4d-9d39-72e522bb79e8	Sr. Software Engineer- AI/ML, AWS Neuron Distributed Training - Performance Optimization	US, WA, Seattle	Seattle	WA	USA	May 21, 2025		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	mention_only	compiler_mention,machine_learning,cloud_infrastructure,embedded_systems	https://www.amazon.jobs/en/jobs/2989101/sr-software-engineer-ai-ml-aws-neuron-distributed-training-performance-optimization	16182d7865e23f386057356213576ecb9bfc7aebb7a4e6faf0e1bb21d250be56
2026-09-16T15:57:53Z	3098222	e511fa52-4a0b-489e-93b7-2ca78c62f80f	Sr. Software Engineer- AI/ML, AWS Neuron Distributed Training	US, WA, Seattle	Seattle	WA	USA	September 30, 2025		Software Development	aws	label=team-sde-primary		not_identified	basic_qualifications	mention_only	compiler_mention,machine_learning,cloud_infrastructure,database_search,application_backend	https://www.amazon.jobs/en/jobs/3098222/sr-software-engineer-ai-ml-aws-neuron-distributed-training	22d7f109276d480c2a47d303c10675cd7e6f4b6aec1e5731e3b10926004501ef
2026-09-16T15:57:53Z	3121777	ed1f37fa-8233-4216-8eb4-5a862845ca31	Senior SDE, Luna Gen AI	US, WA, Seattle	Seattle	WA	USA	November 5, 2025		Software Development	alexa-and-amazon-devices	label=team-luna		not_identified	basic_qualifications	none	machine_learning,distributed_systems,cloud_infrastructure,security_identity,application_backend,operations_observability	https://www.amazon.jobs/en/jobs/3121777/senior-sde-luna-gen-ai	0a215fa59dae2cb772c65e789d04fe02e377c47641a971d1297a937728fed516
2026-09-16T15:57:53Z	3123956	cff2fd70-417e-4e82-b2c2-70d34c8533fc	Software Dev Engineer II, Secure Customer Content Storage and Analytics, AWS Applied AI Solution – Core Services	US, CA, Santa Clara	Santa Clara	CA	USA	November 10, 2025		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	none	machine_learning,distributed_systems,cloud_infrastructure,database_search,security_identity,application_backend,operations_observability	https://www.amazon.jobs/en/jobs/3123956/software-dev-engineer-ii-secure-customer-content-storage-and-analytics-aws-applied-ai-solution-core-services	a4f715a38adffe503817d7aceb70e7ac73662a35124f142b0285352870290659
2026-09-16T15:57:53Z	3127844	db7de11d-533c-4704-96cb-b5084cb4bedf	Senior Software Development Engineer, Luna Gen AI	US, WA, Seattle	Seattle	WA	USA	November 17, 2025		Software Development	alexa-and-amazon-devices	label=team-luna		not_identified	basic_qualifications	none	machine_learning,distributed_systems,cloud_infrastructure,security_identity,application_backend,operations_observability	https://www.amazon.jobs/en/jobs/3127844/senior-software-development-engineer-luna-gen-ai	c44d4b5762e7bdb3f4d2ffe3901bd2afe532acc9ccae9b6a8b6db8aed7df0635
2026-09-16T15:57:53Z	3147697	de76d272-cdaf-46f4-9c76-5d977e4b7f54	Software Development Engineer, AWS Agentic AI	IL, Haifa	Haifa		ISR	December 22, 2025		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	none	machine_learning,cloud_infrastructure,application_backend	https://www.amazon.jobs/en/jobs/3147697/software-development-engineer-aws-agentic-ai	1cf89742ce08c945c72124f0a1af7671355ce9454223240937f9f1a4ff824659
2026-09-16T15:57:53Z	3158229	7cfb7d16-293c-426e-89a5-c27c9d05866d	Sr. Machine Learning Engineer, AWS Applied AI Solution	US, WA, Seattle	Seattle	WA	USA	January 13, 2026		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	none	machine_learning,cloud_infrastructure	https://www.amazon.jobs/en/jobs/3158229/sr-machine-learning-engineer-aws-applied-ai-solution	ff78568630b565c94af8f5d1aee73910fb4d86a82cb521881c47b468d1aab5bf
2026-09-16T15:57:53Z	3163024	73f93aab-aad0-4de6-8cfa-c72b21395e0f	Principal Software Engineer, Alexa AI (AURORA)	IN, KA, Bengaluru	Bengaluru	KA	IND	January 21, 2026		Software Development	alexa-and-amazon-devices	label=devices-and-services-teams		not_identified	not_stated	none	machine_learning,distributed_systems,cloud_infrastructure,networking,database_search,operations_observability	https://www.amazon.jobs/en/jobs/3163024/principal-software-engineer-alexa-ai-aurora	3966b9370b30d0346ff962471b63f349d7a1476d4d1a5036561a6e8ba897c761
2026-09-16T15:57:53Z	3167825	9daca90b-1278-4c80-844b-8015daec50d4	Software Development Engineer, AWS Agentic AI	IL, Haifa	Haifa		ISR	January 27, 2026		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	none	machine_learning,cloud_infrastructure,application_backend	https://www.amazon.jobs/en/jobs/3167825/software-development-engineer-aws-agentic-ai	3f1efc8fae95471455b5379e76e552ef22aac8ff7e88b09c0fe8eb4521f180f9
2026-09-16T15:57:53Z	3168219	467ef60c-a0af-4e97-a08c-2fa619fc485b	Sr. Software Engineer- AI/ML, AWS Neuron Distributed Training	US, CA, Cupertino	Cupertino	CA	USA	January 27, 2026		Software Development	aws	label=team-sde-primary		not_identified	basic_qualifications	mention_only	compiler_mention,machine_learning,cloud_infrastructure,database_search	https://www.amazon.jobs/en/jobs/3168219/sr-software-engineer-ai-ml-aws-neuron-distributed-training	5e3f996c5b0e2270b22db9803bd320d23507f0c35c149c9323af9d9b00736574
2026-09-16T15:57:53Z	3175270	420d5544-0922-48db-8ac7-0b735caedbbc	Software Engineer- AI/ML, AWS Neuron Distributed Training - Performance Optimization	US, WA, Seattle	Seattle	WA	USA	February 5, 2026		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	mention_only	compiler_mention,machine_learning,cloud_infrastructure,embedded_systems,application_backend	https://www.amazon.jobs/en/jobs/3175270/software-engineer-ai-ml-aws-neuron-distributed-training-performance-optimization	355d0395451285c52d173cd29ac59f7204f1f81d5c1f40ad18e88802add33261
