retrieved_at	job_id	title	location	city	state	country	posted	updated	job_category	business_category	team	schedule_type	manager_status	degree_status	compiler_screening	domain_tags	source_url	source_record_sha256
2026-09-16T15:54:25Z	070b4d3e-ff88-4e7c-b978-423f4c10f3e2	Sr. Software Development Manager - Compiler, AWS Neuron, Annapurna Labs	CA, ON, Toronto	Toronto	ON	CAN	February 5, 2026		Software Development	aws	label=team-sde-primary		title_inferred	preferred_only	core_candidate_title	compiler_mention,machine_learning,cloud_infrastructure,database_search,security_identity,frontend_mobile,graphics_media,application_backend	https://www.amazon.jobs/en/jobs/3175108/sr-software-development-manager-compiler-aws-neuron-annapurna-labs	05aca44d98ffafd662eb5f057cd7a281aef68856e7a116881f1045fecb16c129
2026-09-16T15:54:25Z	19a5d8f5-2760-48b9-9b9c-d139d9848708	Software Development Manager - Compiler	US, CA, Cupertino	Cupertino	CA	USA	February 4, 2026		Software Development	aws	label=team-aws-sdm		title_inferred	preferred_only	core_candidate_title	compiler_mention,machine_learning,cloud_infrastructure,graphics_media	https://www.amazon.jobs/en/jobs/3174232/software-development-manager-compiler	d225f208796bc4f42a0a8db2badd94e2b5dbd5d746ba31ce2eb2d694bd59e61e
2026-09-16T15:54:25Z	2a9d9080-2285-440f-b7f3-5d70952a1b31	Software Dev Engineer, Machine Learning Compilers	US, CA, Sunnyvale	Sunnyvale	CA	USA	June 12, 2026		Software Development	alexa-and-amazon-devices	label=devices-and-services-teams		not_identified	preferred_only	core_candidate_title	compiler_mention,machine_learning,cloud_infrastructure,networking,embedded_systems,application_backend	https://www.amazon.jobs/en/jobs/10447886/software-dev-engineer-machine-learning-compilers	7aeac55c1f8943abbaf0402434afcacef100d990d1e36b9eedd7043addc657f2
2026-09-16T15:54:25Z	308a6f8b-c8a0-46e3-9c0f-f486a3a2b8a9	Machine Learning - Compiler Engineer , AWS Neuron, Annapurna Labs	US, CA, Cupertino	Cupertino	CA	USA	October 31, 2025		Software Development	aws	label=team-machine-learning-primary		not_identified	preferred_only	core_candidate_title	compiler_mention,machine_learning,cloud_infrastructure,database_search,security_identity,graphics_media,application_backend	https://www.amazon.jobs/en/jobs/3119465/machine-learning-compiler-engineer-aws-neuron-annapurna-labs	ae7bd23b1b484f27aa5631f790142f34033278adaa6bc77827bdfa0c964b5031
2026-09-16T15:54:25Z	5a99680d-d135-49fd-b7fe-b5392d7b36b8	Software Dev Engineer, Machine Learning Compilers, Edge AI Compiler and Runtime Team	CA, BC, Vancouver	Vancouver	BC	CAN	September 14, 2026		Software Development	alexa-and-amazon-devices	label=devices-and-services-teams		not_identified	preferred_only	core_candidate_title	compiler_mention,machine_learning,cloud_infrastructure,networking,embedded_systems,application_backend	https://www.amazon.jobs/en/jobs/10539293/software-dev-engineer-machine-learning-compilers-edge-ai-compiler-and-runtime-team	2cee0b7767094fb5950a73132a8855c512d09a3247da2e58366558d9b3481586
2026-09-16T15:54:25Z	637f3653-02b3-4d59-ac81-25cf34a6853f	Sr. Machine Learning - Compiler Engineer III, AWS Neuron, Annapurna Labs	US, CA, Cupertino	Cupertino	CA	USA	January 28, 2026		Software Development	aws	label=team-machine-learning-primary		not_identified	preferred_only	core_candidate_title	compiler_mention,machine_learning,cloud_infrastructure,networking	https://www.amazon.jobs/en/jobs/3168926/sr-machine-learning-compiler-engineer-iii-aws-neuron-annapurna-labs	6b0b973575174853836ddff593b66f5d33165ad6ba8e6dc5b710d68a03a13e64
2026-09-16T15:54:25Z	9e590042-7a6f-4b34-b23b-566ee0111856	Sr. Machine Learning - Compiler Engineer III, AWS Neuron, Annapurna Labs	US, CA, Cupertino	Cupertino	CA	USA	May 1, 2026		Software Development	aws	label=team-machine-learning-primary		not_identified	preferred_only	core_candidate_title	compiler_mention,machine_learning,cloud_infrastructure,database_search,security_identity,application_backend	https://www.amazon.jobs/en/jobs/10409009/sr-machine-learning-compiler-engineer-iii-aws-neuron-annapurna-labs	69fc519a6f2f8d4b80a2d2da5b545d65980595a6d918bd90f5e1c0511196b74f
2026-09-16T15:54:25Z	b8d4e2a2-5af7-4afc-92e7-e47e463256b2	Machine Learning - Compiler Engineer , AWS Neuron, Annapurna Labs	US, CA, Cupertino	Cupertino	CA	USA	September 3, 2026		Software Development	aws	label=team-machine-learning-primary		not_identified	preferred_only	core_candidate_title	compiler_mention,machine_learning,cloud_infrastructure,database_search,security_identity,graphics_media	https://www.amazon.jobs/en/jobs/10528817/machine-learning-compiler-engineer-aws-neuron-annapurna-labs	9298f791b180deec0513347d7a1013b1f2f3487737625a3f6113ac7ced945d2d
2026-09-16T15:54:25Z	ded21b29-c522-4784-8269-5072d6870fce	ML Compiler Engineer, Annapurna Labs	US, CA, Cupertino	Cupertino	CA	USA	May 21, 2026		Software Development	aws	label=team-sde-primary		not_identified	basic_qualifications	core_candidate_title	compiler_mention,machine_learning,cloud_infrastructure,networking,database_search,security_identity,application_backend	https://www.amazon.jobs/en/jobs/10427132/ml-compiler-engineer-annapurna-labs	eab1525b32920d55b64e42238e37a303e93d63b4d306b77f08953da5bcac08f0
2026-09-16T15:54:25Z	e1a587cf-71ed-4a15-9524-37a9af452966	Sr. Machine Learning - Compiler Engineer III, AWS Neuron, Annapurna Labs	US, CA, Cupertino	Cupertino	CA	USA	May 27, 2026		Software Development	aws	label=team-machine-learning-primary		not_identified	basic_qualifications	core_candidate_title	compiler_mention,machine_learning,cloud_infrastructure,database_search,security_identity,application_backend	https://www.amazon.jobs/en/jobs/10432392/sr-machine-learning-compiler-engineer-iii-aws-neuron-annapurna-labs	40778ba8a0b5499f6b6e8a7bee902e9ee4a195eb679a339769ceac4ffee478b9
