retrieved_at	job_id	title	location	city	state	country	posted	updated	job_category	business_category	team	schedule_type	manager_status	degree_status	compiler_screening	domain_tags	source_url	source_record_sha256
2026-09-16T15:54:25Z	000ca9c4-ad04-4790-b0fa-ffc7d79992d3	Software Development Engineer Intern, ROBOTICS - 2027	CA, ON, Toronto	Toronto	ON	CAN	September 9, 2026		Software Development	subsidiaries	label=team-amazon-robotics		not_identified	basic_qualifications	none	machine_learning,distributed_systems,cloud_infrastructure,networking,database_search,frontend_mobile,graphics_media,application_backend,operations_observability	https://www.amazon.jobs/en/jobs/10535280/software-development-engineer-intern-robotics-2027	c1840ca1692bdec7944635a95dc7fc9416a14f708608a979de6795028f8d80fa
2026-09-16T15:54:25Z	002bb768-9bfa-483c-8265-7220b51959b7	Sr. Software Development Engineer, S3, S3	US, VA, Herndon	Herndon	VA	USA	July 24, 2026		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	none	distributed_systems,cloud_infrastructure,networking,database_search,security_identity,application_backend	https://www.amazon.jobs/en/jobs/10483666/sr-software-development-engineer-s3-s3	add1956400212dc1fe50fcf54cd39e18f2f10ce37a4eb22e68a6dcc4b14228e4
2026-09-16T15:54:25Z	003b3e0e-6b38-4347-988d-00df76452c78	Software Development Engineer, AWS OpenSearch	US, TX, Austin	Austin	TX	USA	September 10, 2026		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	none	machine_learning,distributed_systems,cloud_infrastructure,database_search,security_identity,application_backend,operations_observability	https://www.amazon.jobs/en/jobs/10536943/software-development-engineer-aws-opensearch	72e25b3f9b3bccefbfa21782a59c8c59e5c5e208f52be05b593d90ebb0adee0f
2026-09-16T15:54:25Z	0044e06c-c5d5-496c-95d2-ad2e5eb2fa38	Senior Engineering Manager, Strands, AWS Velocity Labs	US, NY, New York	New York	NY	USA	August 31, 2026		Software Development	aws	label=team-sde-primary		title_inferred	not_stated	none	machine_learning,cloud_infrastructure,operations_observability	https://www.amazon.jobs/en/jobs/10522143/senior-engineering-manager-strands-aws-velocity-labs	4aa40a432a53dbbff733b048b2aed7c86597141edd952f3389cef69a7922f5f9
2026-09-16T15:54:25Z	0056ff0e-46df-49cc-81a0-0ca9f99de474	Robotics SDE, Safe Autonomy, Compass	US, CA, Pasadena	Pasadena	CA	USA	September 8, 2026		Software Development	subsidiaries	label=team-amazon-robotics		not_identified	preferred_only	none	embedded_systems,application_backend	https://www.amazon.jobs/en/jobs/10533184/robotics-sde-safe-autonomy-compass	85f27d6844f2e15b2fa784e0ca34a8ee83b6c2712db24582edae9842656d8ffb
2026-09-16T15:54:25Z	0059d868-56de-49d6-9228-2a79b94a50d2	Software Development Engineer, Amazon OpenSearch Service - Control Plane	IN, KA, Bengaluru	Bengaluru	KA	IND	August 10, 2026		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	none	distributed_systems,cloud_infrastructure,database_search,security_identity,application_backend	https://www.amazon.jobs/en/jobs/10497203/software-development-engineer-amazon-opensearch-service-control-plane	786ed86548639be5f61ea8ea2df064d0b1379e5a76b8420892a44a259d7fa48d
2026-09-16T15:54:25Z	0076775c-5862-46b6-aee3-0e9c8a674973	Software Development Engineer, AWS	US, MN, Minneapolis	Minneapolis	MN	USA	July 9, 2026		Software Development	aws	label=team-sde-primary		not_identified	basic_qualifications	none	distributed_systems,cloud_infrastructure,networking,database_search,security_identity,embedded_systems,application_backend,operations_observability	https://www.amazon.jobs/en/jobs/10470595/software-development-engineer-aws	bd4672e9824eb47d4a9534ec1c8d58a8186b242e527137988982439542ca98c9
2026-09-16T15:54:25Z	00a3c641-4f67-4e66-ac44-679655067613	Software Development Manager, EC2 Nitro	US, WA, Seattle	Seattle	WA	USA	August 31, 2026		Software Development	aws	label=team-sde-primary		title_inferred	not_stated	none	machine_learning,distributed_systems,cloud_infrastructure,networking,embedded_systems,application_backend,operations_observability	https://www.amazon.jobs/en/jobs/10523024/software-development-manager-ec2-nitro	92e5c31d86107688983aa91c4edc110112e9164de036bdf359bcfd41e4774123
2026-09-16T15:54:25Z	00b28b39-339a-44cb-84aa-ffe2b1bb68f5	Sr. Software Development Engineer, Aurora Storage	US, WA, Redmond	Redmond	WA	USA	August 6, 2026		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	none	distributed_systems,cloud_infrastructure,database_search,security_identity,application_backend	https://www.amazon.jobs/en/jobs/10494838/sr-software-development-engineer-aurora-storage	47d00c335230a4a18b7bfa1525b41193d14f91a5a2a296efa1d6fc282f6c4556
2026-09-16T15:54:25Z	00b8c272-585a-47ee-ad08-2169f2317bf4	SENIOR SOFTWARE DEVELOPMENT ENGINEER, Infra Supply Chain Automation	IN, KA, Bengaluru	Bengaluru	KA	IND	May 22, 2026		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	none	cloud_infrastructure,networking,database_search,security_identity,application_backend	https://www.amazon.jobs/en/jobs/10428396/senior-software-development-engineer-infra-supply-chain-automation	c831abdd9ba31a9e06a206692fa35d7d227c1e6195433bf197fb2cf99598c3fd
2026-09-16T15:54:25Z	00b9b39d-61ac-4932-b137-beae12774e05	Software Development Engineer, Agentic Workspaces	US, WA, Seattle	Seattle	WA	USA	August 13, 2026		Software Development	aws	label=team-sde-primary		not_identified	basic_qualifications	none	distributed_systems,cloud_infrastructure,security_identity,embedded_systems,application_backend	https://www.amazon.jobs/en/jobs/10501317/software-development-engineer-agentic-workspaces	8c290ab5bad7a226499756abb6b8cdd4db5084af7e0f4e4eca865389e63b5ee6
2026-09-16T15:54:25Z	00ef7eb3-1e42-492d-baef-fe2cd54f5098	Software Engineer, Browser Client	CA, BC, Virtual	Virtual	BC	CAN	August 25, 2026		Software Development	subsidiaries	label=team-global-twitch		not_identified	basic_qualifications	none	security_identity,frontend_mobile,graphics_media,operations_observability	https://www.amazon.jobs/en/jobs/10514569/software-engineer-browser-client	d6314546bc6a6fe5df4daab4064310e5afa77e71dd79ce344c4829a644895427
2026-09-16T15:54:25Z	010cbbb8-90e0-4148-8e37-882c98c0f1fd	Sr. Embedded Software Engineer, Leo Payload Radio	US, WA, Redmond	Redmond	WA	USA	December 2, 2025		Software Development	alexa-and-amazon-devices	label=team-project-kuiper		not_identified	preferred_only	none	networking,security_identity,embedded_systems	https://www.amazon.jobs/en/jobs/3136145/sr-embedded-software-engineer-leo-payload-radio	ddac2c491c8971361722b184a096b16a9489de56d7e7456038fcfe393aebb1d9
2026-09-16T15:54:25Z	010f90e9-d3d3-4ba9-b98a-0436c4827d33	Software Dev Engineer, GuardDuty	US, NY, New York	New York	NY	USA	September 4, 2026		Software Development	aws	label=team-sde-primary		not_identified	basic_qualifications	none	machine_learning,distributed_systems,cloud_infrastructure,security_identity,embedded_systems,operations_observability	https://www.amazon.jobs/en/jobs/10530460/software-dev-engineer-guardduty	24648b8bf8a11ba67eda631bed98211c3c72c1d1d3099aedea3f9dd1707b21c0
