retrieved_at	amazon_job_id	source_record_id	title	location	city	state	country	posted	updated	job_category	business_category	team	schedule_type	manager_status	degree_status	compiler_screening	domain_tags	source_url	source_record_sha256
2026-09-16T15:57:53Z	2989101	380c8a67-4e26-4f4d-9d39-72e522bb79e8	Sr. Software Engineer- AI/ML, AWS Neuron Distributed Training - Performance Optimization	US, WA, Seattle	Seattle	WA	USA	May 21, 2025		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	mention_only	compiler_mention,machine_learning,cloud_infrastructure,embedded_systems	https://www.amazon.jobs/en/jobs/2989101/sr-software-engineer-ai-ml-aws-neuron-distributed-training-performance-optimization	16182d7865e23f386057356213576ecb9bfc7aebb7a4e6faf0e1bb21d250be56
2026-09-16T15:57:53Z	3062273	f5697965-aa34-48ca-a7f4-eec12a4f0bac	Software Development Engineer, ML Systems, Annapurna Labs	US, NY, New York	New York	NY	USA	August 19, 2025		Software Development	aws	label=team-machine-learning-primary		not_identified	preferred_only	mention_only	compiler_mention,machine_learning,distributed_systems,cloud_infrastructure,networking,database_search,security_identity,application_backend	https://www.amazon.jobs/en/jobs/3062273/software-development-engineer-ml-systems-annapurna-labs	3aa6fb930ef991ce7aa0663e4468037561de4050677e2b48d0c269f83d83a133
2026-09-16T15:57:53Z	3098222	e511fa52-4a0b-489e-93b7-2ca78c62f80f	Sr. Software Engineer- AI/ML, AWS Neuron Distributed Training	US, WA, Seattle	Seattle	WA	USA	September 30, 2025		Software Development	aws	label=team-sde-primary		not_identified	basic_qualifications	mention_only	compiler_mention,machine_learning,cloud_infrastructure,database_search,application_backend	https://www.amazon.jobs/en/jobs/3098222/sr-software-engineer-ai-ml-aws-neuron-distributed-training	22d7f109276d480c2a47d303c10675cd7e6f4b6aec1e5731e3b10926004501ef
2026-09-16T15:57:53Z	3151409	073f87eb-e69d-4832-9436-7a835a560dba	Software Development Engineer, ML Systems, Annapurna Labs	US, NY, New York	New York	NY	USA	January 3, 2026		Software Development	aws	label=team-machine-learning-primary		not_identified	preferred_only	mention_only	compiler_mention,machine_learning,distributed_systems,cloud_infrastructure,networking,database_search,security_identity,application_backend	https://www.amazon.jobs/en/jobs/3151409/software-development-engineer-ml-systems-annapurna-labs	c9038e7165dc7a56aab2964d0bd9f61b6a3d04b937ab908057dfc09c1bb8cb15
2026-09-16T15:57:53Z	3163516	e90a5873-1350-4660-b23b-c1c4d1518a6b	Software Development Engineer III, Annapurna Labs	US, NY, New York	New York	NY	USA	January 21, 2026		Software Development	aws	label=team-machine-learning-primary		not_identified	preferred_only	mention_only	compiler_mention,machine_learning,distributed_systems,cloud_infrastructure,networking,security_identity,embedded_systems,application_backend	https://www.amazon.jobs/en/jobs/3163516/software-development-engineer-iii-annapurna-labs	9acc04c582b0f8cf62a54dc154169e41aff86a55bcbf22a8ee71749af04d2aa1
2026-09-16T15:57:53Z	3168219	467ef60c-a0af-4e97-a08c-2fa619fc485b	Sr. Software Engineer- AI/ML, AWS Neuron Distributed Training	US, CA, Cupertino	Cupertino	CA	USA	January 27, 2026		Software Development	aws	label=team-sde-primary		not_identified	basic_qualifications	mention_only	compiler_mention,machine_learning,cloud_infrastructure,database_search	https://www.amazon.jobs/en/jobs/3168219/sr-software-engineer-ai-ml-aws-neuron-distributed-training	5e3f996c5b0e2270b22db9803bd320d23507f0c35c149c9323af9d9b00736574
2026-09-16T15:57:53Z	3175270	420d5544-0922-48db-8ac7-0b735caedbbc	Software Engineer- AI/ML, AWS Neuron Distributed Training - Performance Optimization	US, WA, Seattle	Seattle	WA	USA	February 5, 2026		Software Development	aws	label=team-sde-primary		not_identified	preferred_only	mention_only	compiler_mention,machine_learning,cloud_infrastructure,embedded_systems,application_backend	https://www.amazon.jobs/en/jobs/3175270/software-engineer-ai-ml-aws-neuron-distributed-training-performance-optimization	355d0395451285c52d173cd29ac59f7204f1f81d5c1f40ad18e88802add33261
2026-09-16T15:57:53Z	3200392	7509827f-57b8-4b00-8f9b-21a6bdcebfe5	Principal Engineer, Amazon | Multiple Locations, USA, Global Specialty Recruiting Team	US, WA, Seattle	Seattle	WA	USA	March 10, 2026		Software Development	aws	label=team-sde-primary		not_identified	not_stated	mention_only	compiler_mention,distributed_systems,cloud_infrastructure,networking,database_search,embedded_systems,frontend_mobile,application_backend	https://www.amazon.jobs/en/jobs/3200392/principal-engineer-amazon-multiple-locations-usa-global-specialty-recruiting-team	9e7634c4d08238d050a788290d62d87e95147586a84010cace80b412679ab5e8
2026-09-16T15:57:53Z	10375238	016d1058-7c8a-43d2-80c3-787b2ea424a0	Senior AI SoC Modeling Engineer, Annapurna Labs Machine Learning Accelerators, AWS	US, CA, Cupertino	Cupertino	CA	USA	March 24, 2026		Software Development	aws	label=team-sde-primary		not_identified	not_stated	mention_only	compiler_mention,machine_learning,cloud_infrastructure,networking,database_search,graphics_media	https://www.amazon.jobs/en/jobs/10375238/senior-ai-soc-modeling-engineer-annapurna-labs-machine-learning-accelerators-aws	aa0e66747d6179a150d47c82b9666b64fa50007f8775648c6904009f05f096a0
2026-09-16T15:57:53Z	10375239	10e3bc79-c061-4139-8d9e-989bbd44c0ba	Senior SoC Systems Software Engineer, Annapurna Labs Machine Learning Accelerators, AWS	US, CA, Cupertino	Cupertino	CA	USA	March 24, 2026		Software Development	aws	label=team-sde-primary		not_identified	not_stated	mention_only	compiler_mention,machine_learning,distributed_systems,cloud_infrastructure,networking,embedded_systems,graphics_media	https://www.amazon.jobs/en/jobs/10375239/senior-soc-systems-software-engineer-annapurna-labs-machine-learning-accelerators-aws	d3db96448d7b7718f28d9dc449ff5390888e74e9488dff739202800af2e9d7b3
