title	requisitions
Software Development Engineer	21
Software Development Engineer, AWS	13
Software Development Engineer, AWS OpenSearch	11
Software Development Engineer II , Amazon Cross Border Tech	10
Associate Delivery Consultant – AIML, A2C ProServe Shared Delivery (SDT)	9
Software Development Engineer II, EU INTech - Prime and Marketing Tech	9
Software Development Engineer, Alexa Connections	8
Software Dev Engineer, AWS Elastic Container Service	7
Software Development Engineer II	7
Software Development Engineer, Agentic Workspaces	7
Software Development Engineer, Amazon Quick	7
Senior Software Development Engineer	6
Software Dev Engineer II	6
Software Development Engineer – 2026	6
Software Development Engineer, AWS AppSync	6
Software Development Engineer, AWS Central SDE Team	6
Software Development Engineer, AWS Identity	6
Software Development Engineer, AWS OpenSearch Service	6
Sr. Software Dev Engineer, Leo AI Foundations	6
SDE-1 (FTC)	5
Software Dev Engineer - AI Agents, IES LATech	5
Software Dev Engineer II, Prime Air	5
Software Development Engineer , Leo Commerce, Leo Commerce	5
Software Development Engineer , Leo Customer Terminals Applications & Networking Team	5
Software Development Engineer, AWS Config, AWS Config	5
Software Development Engineer, Bottlerocket	5
Software Development Engineer, S3 Index Control Plane	5
Software Development Engineer, WW Deals & Promotions	5
Software Development Manager	5
Senior Software Development Engineer, Aurora PostgreSQL	4
Software Dev Engineer II, Oracle Database@AWS	4
Software Dev Engineer II, Planning Intelligence	4
Software Development Engineer , Amazon Leo	4
Software Development Engineer II - Amazon MSK, Managed Streaming Kafka (MSK)	4
Software Development Engineer II, AWS AI & Strategic Partner Engineering	4
Software Development Engineer II, Amazon	4
Software Development Engineer II, Amazon Leo	4
Software Development Engineer, AFT External Fulfillment	4
Software Development Engineer, AI Studios Engineering	4
Software Development Engineer, AWS Database Migration Service	4
Software Development Engineer, AWS Simple Queue Service (SQS)	4
Software Development Engineer, Amazon 1P Credito	4
Software Development Engineer, Kiro	4
Software Development Engineer, Leo Autopilot	4
Software Development Engineer, RDS SQL Server	4
Software Development Engineer, STRADA	4
Software Development Engineer, Sponsored Products and Brands	4
Software Engineer, AppSTAR COMPASS	4
Software I&T Engineer , Amazon Leo for Government	4
Sr. Software Dev Engineer, Antenna System Validation, Amazon Leo	4
Sr. Software Engineer- AI/ML, AWS Neuron Distributed Training	4
Verification Engineer	4
ASIC Design Engineer II, Annapurna Labs - Cloud-Scale Machine Learning Acceleration	3
DFT Engineer	3
Embedded Software Development Engineer II, AWS Hardware Engineering Services	3
ML Kernel Performance Engineer, AWS Neuron, Annapurna Labs	3
Machine Learning Engineer, Amazon Music - Catalog Quality	3
Programmer/Analyst II, Ship With Amazon	3
SDE, MLA hardware/software co-design, Annapurna Labs Machine Learning Acceleration	3
SDE-II, Supply Chain	3
Senior PostgreSQL Database Engineer, RDS	3
Senior Software Developer Engineer, AWS Compliance & Security Assurance	3
Senior Software Development Engineer, Amazon Quick	3
Senior Software Development Engineer, Consumer Domains	3
Senior Software Development Engineer, EC2 Nitro	3
Software Dev Engineer II, AWS Healthcare AI	3
