business_category	requisitions	management_requisitions	ic_or_unidentified_requisitions	distinct_team_labels	distinct_titles	countries
aws	1224	157	1067	14	880	14
alexa-and-amazon-devices	391	47	344	14	304	10
advertising	115	10	105	3	98	5
subsidiaries	113	10	103	3	97	4
amazon-security	87	12	75	6	67	7
retail	70	15	55	9	51	8
selling-partner-services	70	11	59	3	53	4
ecp	66	15	51	14	58	4
operations	63	7	56	12	47	5
amazon-business	50	8	42	2	38	4
entertainment	50	11	39	4	40	5
studentprograms	48	0	48	2	42	17
no-business-category	46	6	40	1	39	4
pxt	25	3	22	3	20	4
finance	23	1	22	3	18	3
consumer_engagement	20	0	20	3	17	3
fulfillment-and-operations	16	1	15	3	10	4
consumerpayments	15	6	9	5	12	3
transportation-and-logistics	14	8	6	6	13	2
international-stores	13	2	11	4	9	3
customer-service	11	2	9	2	9	3
global-corporate	10	0	10	1	2	2
kindlecontent	10	0	10	1	10	5
north-america-stores	9	1	8	3	5	2
amazon-artificial-general-intelligence	8	0	8	1	7	2
ats	8	2	6	1	8	3
fulfillment-technology-and-robotics	7	0	7	2	5	1
cx-and-business-trends	6	0	6	1	3	1
amazonian-experience-and-tech	4	0	4	2	3	1
consumer-payments	3	1	2	1	3	1
amazongo	2	1	1	1	2	1
business-and-corporate-development	2	0	2	1	2	1
customer-trust-and-partner-support	2	1	1	2	2	2
healthcare	2	2	0	2	2	1
seller-services	2	0	2	1	2	2
worldwide-grocery-stores	2	1	1	1	2	2
amazon-customer-service	1	1	0	1	1	1
cross-channel-cross-category-marketing	1	0	1	1	1	1
fulfillment-ops	1	1	0	1	1	1
legal	1	0	1	1	1	1
pharmacy	1	0	1	1	1	1
university	1	0	1	1	1	1
