business_category	team_label	requisitions	management_requisitions	ic_or_unidentified_requisitions	distinct_titles	countries
aws	label=team-sde-primary	904	37	867	652	12
alexa-and-amazon-devices	label=team-project-kuiper	217	25	192	166	2
aws	label=team-aws-sdm	132	107	25	104	9
advertising	label=team-amazon-ads	98	8	90	86	5
subsidiaries	label=team-amazon-robotics	81	5	76	73	3
selling-partner-services	label=no-team-listed	67	11	56	50	3
alexa-and-amazon-devices	label=team-ring-key-blink	52	2	50	40	8
no-business-category	label=no-team-listed	46	6	40	39	4
amazon-business	label=no-team-listed	44	8	36	33	3
amazon-security	label=team-aws-security	44	3	41	32	6
aws	label=team-machine-learning-primary	40	1	39	28	1
studentprograms	label=team-jobs-for-grads	39	0	39	33	17
aws	label=team-pro-serv	36	4	32	21	3
alexa-and-amazon-devices	label=devices-and-services-teams	35	2	33	27	7
aws	label=team-aws-cloud-management	29	4	25	22	2
entertainment	label=team-primevideo	29	9	20	25	4
alexa-and-amazon-devices	label=team-alexa-echo-devices	27	5	22	17	3
aws	label=team-hardware-development-primary	25	0	25	15	2
alexa-and-amazon-devices	label=amazon-device-software-and-services	24	1	23	21	4
operations	label=team-amazon-fulfillment-technology	24	1	23	16	3
retail	label=team-search-experience	23	8	15	18	3
ecp	label=team-ascs	22	2	20	20	3
finance	label=team-fintech	21	1	20	16	3
subsidiaries	label=team-global-audible	21	2	19	14	2
aws	label=team-us-security-clearance-jobs-primary	20	0	20	16	2
amazon-security	label=team-store-security	19	3	16	14	3
retail	label=team-intech	18	3	15	13	3
amazon-security	label=no-team-list	16	4	12	13	1
retail	label=team-global-prime-air	16	1	15	8	1
advertising	label=team-ad-serving-and-measurement	15	2	13	12	2
alexa-and-amazon-devices	label=team-hardware-and-eero	15	6	9	15	3
fulfillment-and-operations	label=team-last-mile-delivery	13	1	12	8	3
operations	label=team-supply-chain-optimization	13	1	12	9	3
aws	label=team-no-matching-primary-label-listed	12	1	11	12	4
pxt	label=no-sub-team-listed	12	3	9	12	3
consumer_engagement	label=team-personalization	11	0	11	8	2
pxt	label=team-aet	11	0	11	7	1
subsidiaries	label=team-global-twitch	11	3	8	11	2
