team_label	requisitions	management_requisitions	ic_or_unidentified_requisitions	distinct_business_categories	business_categories	distinct_titles	countries
label=team-sde-primary	904	37	867	1	aws	652	12
label=team-project-kuiper	217	25	192	1	alexa-and-amazon-devices	166	2
label=no-team-listed	202	32	170	16	alexa-and-amazon-devices,amazon-artificial-general-intelligence,amazon-business,amazongo,amazonian-experience-and-tech,consumer_engagement,consumerpayments,cross-channel-cross-category-marketing,fulfillment-and-operations,global-corporate,no-business-category,pharmacy,retail,seller-services,selling-partner-services,worldwide-grocery-stores	152	7
label=team-aws-sdm	132	107	25	1	aws	104	9
label=team-amazon-ads	98	8	90	1	advertising	86	5
label=team-amazon-robotics	81	5	76	1	subsidiaries	73	3
label=team-ring-key-blink	52	2	50	1	alexa-and-amazon-devices	40	8
label=team-aws-security	44	3	41	1	amazon-security	32	6
label=team-machine-learning-primary	40	1	39	1	aws	28	1
label=team-jobs-for-grads	39	0	39	1	studentprograms	33	17
label=team-pro-serv	36	4	32	1	aws	21	3
label=devices-and-services-teams	35	2	33	1	alexa-and-amazon-devices	27	7
label=team-aws-cloud-management	29	4	25	1	aws	22	2
label=team-primevideo	29	9	20	1	entertainment	25	4
label=team-alexa-echo-devices	27	5	22	1	alexa-and-amazon-devices	17	3
label=team-hardware-development-primary	25	0	25	1	aws	15	2
label=amazon-device-software-and-services	24	1	23	1	alexa-and-amazon-devices	21	4
label=team-amazon-fulfillment-technology	24	1	23	1	operations	16	3
label=team-search-experience	23	8	15	1	retail	18	3
label=team-ascs	22	2	20	1	ecp	20	3
label=team-fintech	21	1	20	1	finance	16	3
label=team-global-audible	21	2	19	1	subsidiaries	14	2
label=team-us-security-clearance-jobs-primary	20	0	20	1	aws	16	2
label=team-store-security	19	3	16	1	amazon-security	14	3
label=team-intech	18	3	15	1	retail	13	3
label=no-team-list	16	4	12	1	amazon-security	13	1
label=team-global-prime-air	16	1	15	1	retail	8	1
label=team-ad-serving-and-measurement	15	2	13	1	advertising	12	2
label=team-hardware-and-eero	15	6	9	1	alexa-and-amazon-devices	15	3
label=team-last-mile-delivery	15	2	13	2	fulfillment-and-operations,transportation-and-logistics	10	3
label=team-supply-chain-optimization	13	1	12	1	operations	9	3
label=no-sub-team-listed	12	3	9	1	pxt	12	3
label=team-no-matching-primary-label-listed	12	1	11	1	aws	12	4
label=team-aet	11	0	11	1	pxt	7	1
label=team-global-twitch	11	3	8	1	subsidiaries	11	2
label=team-no-team-listed	11	0	11	2	kindlecontent,operations	11	5
label=team-personalization	11	0	11	1	consumer_engagement	8	2
label=team-amazon-payments	10	1	9	1	international-stores	6	2
label=team-music	10	1	9	1	entertainment	8	2
label=digital-acceleration	9	0	9	1	entertainment	5	2
label=team-internships-for-students	9	0	9	1	studentprograms	9	6
label=technology	9	2	7	1	customer-service	7	2
label=builder-works	8	2	6	1	ecp	8	3
label=team-last-mile-tech	8	1	7	1	operations	8	1
label=team-luna	8	2	6	1	alexa-and-amazon-devices	8	1
label=team-middle-mile-tech	8	2	6	1	ats	8	3
label=team-sales-primary	8	0	8	1	aws	6	1
label=team-system-development-engineer-primary	8	2	6	1	aws	5	3
label=team-shipping-delivery-support	7	4	3	1	operations	4	1
label=one-material-handling-system	6	0	6	1	fulfillment-technology-and-robotics	4	1
label=promotions	6	1	5	1	north-america-stores	4	2
label=team-consumer-3p-job-posting	6	0	6	1	amazon-business	5	2
