business_category	rank_within_business	requisitions	title
advertising	1	4	Software Development Engineer, Sponsored Products and Brands
advertising	2	3	Software Development Engineer, Ads AI Core Infra
advertising	3	3	Software Development Engineer, Agent Platforms & Services
advertising	4	3	Software Development Engineer, Measurement, Ad Tech, and Data Science
advertising	5	3	Sr. Software Development Engineer, Advanced Analytics
advertising	6	2	SDE II, Sales Data Services (SDS)
advertising	7	2	Software Development Engineer , Adaptive Search Relevance
advertising	8	2	Software Development Engineer II — Ads Reporting, Programmatic Reporting Interfaces
advertising	9	2	Software Development Engineer II, Omnichannel Metrics (OCM) - Measurement, Ad Tech, and Data Science (MADS)
advertising	10	2	Software Development Engineer, Ads AI Core Infra (ACI)
advertising	11	2	Software Development Engineer, Measurement, Ad Tech, and Data Science (MADS)
advertising	12	1	Data Engineer I, Sales Data Services (SDS)
advertising	13	1	Machine Learning Engineer, Amazon Ads Identity
advertising	14	1	Principal Software Engineer, Amazon DSP (Demand-Side Platform) — Advertising
advertising	15	1	Principal Software Engineer, MADS
advertising	16	1	SDE II, Campaign and Creative
advertising	17	1	SDE-II, AI Core Infra - AI Analytics and Insights
advertising	18	1	Salesforce Developer I, Sales and Partner Enablement
advertising	19	1	Salesforce Developer II, Sales and Partner Enablement
advertising	20	1	Senior Manager, Ads Data Systems, Measurement Infrastructure
advertising	21	1	Senior Manager, Software Development, Ads Performance Measurement
advertising	22	1	Senior Software Development Engineer, Ads AI Core Infra
advertising	23	1	Senior Software Development Engineer, Ads Campaign Management
advertising	24	1	Senior Software Development Engineer, Ads Core Infra (ACI)
advertising	25	1	Senior Software Development Engineer, Creative Advertiser Experiences
alexa-and-amazon-devices	1	8	Software Development Engineer, Alexa Connections
alexa-and-amazon-devices	2	6	Sr. Software Dev Engineer, Leo AI Foundations
alexa-and-amazon-devices	3	5	Software Development Engineer , Leo Commerce, Leo Commerce
alexa-and-amazon-devices	4	5	Software Development Engineer , Leo Customer Terminals Applications & Networking Team
alexa-and-amazon-devices	5	4	Software Development Engineer , Amazon Leo
alexa-and-amazon-devices	6	4	Software Development Engineer II, Amazon Leo
alexa-and-amazon-devices	7	4	Software Development Engineer, Leo Autopilot
alexa-and-amazon-devices	8	4	Software I&T Engineer , Amazon Leo for Government
alexa-and-amazon-devices	9	4	Sr. Software Dev Engineer, Antenna System Validation, Amazon Leo
alexa-and-amazon-devices	10	3	Software Dev Engineer, Amazon Leo AI Foundations
alexa-and-amazon-devices	11	3	Software Development Engineer, Alexa Communications
alexa-and-amazon-devices	12	3	Software Development Engineer, Ring
alexa-and-amazon-devices	13	3	Software Development Engineer, Software Defined Network Controller, Amazon LEO
alexa-and-amazon-devices	14	3	Sr. Software Development Engineer, Alexa Connections
alexa-and-amazon-devices	15	2	Alarm & Accessories - Embedded SDE , Ring
alexa-and-amazon-devices	16	2	Amazon Leo Network Development Engineer, Amazon Leo Enterprise Network Infrastructure
alexa-and-amazon-devices	17	2	Application Builder, Ring Application Services
alexa-and-amazon-devices	18	2	Application Builder, Ring Software Product Builders
alexa-and-amazon-devices	19	2	Builder - Mobile (Platform), Ring
alexa-and-amazon-devices	20	2	Embedded Software Dev Engineer, Amazon Leo Antenna Development
alexa-and-amazon-devices	21	2	Embedded Software Dev Engineer, Amazon Leo Customer Terminal Software
alexa-and-amazon-devices	22	2	Embedded Software Development Engineer, Flight Computer Software
alexa-and-amazon-devices	23	2	Embedded Software Development Engineer, Ring Team
alexa-and-amazon-devices	24	2	Embedded Software Engineer, Amazon Leo Optical Inter-Satellite Link
alexa-and-amazon-devices	25	2	Front End Engineer , Amazon Leo
amazon-artificial-general-intelligence	1	2	Post-Silicon Systems Validation Engineer I, Annapurna Labs
amazon-artificial-general-intelligence	2	1	ML Systems Software Development Engineer Intern, Annapurna Labs - 2027
amazon-artificial-general-intelligence	3	1	Senior Inference Engineer, AGI
amazon-artificial-general-intelligence	4	1	Senior Software Engineer, Frontier AI Organization
amazon-artificial-general-intelligence	5	1	Software Dev Engineer I - Graviton Software, Annapurna Labs
amazon-artificial-general-intelligence	6	1	Software Development Engineer I – AI/ML Network Infrastructure, Annapurna Labs
amazon-artificial-general-intelligence	7	1	Software Development Engineer Intern, Annapurna Labs - 2027
amazon-business	1	7	Software Development Engineer II, EU INTech - Prime and Marketing Tech
amazon-business	2	2	Senior Software Development Engineer, AZA
amazon-business	3	2	Software Dev Engineer II
amazon-business	4	2	Software Development Engineer II , Product & Offers Experience
amazon-business	5	2	Software Development Engineer II, Amazon Now
amazon-business	6	2	Software Development Engineer, Amazon Prime
amazon-business	7	2	System Development Engineer , CoSS
amazon-business	8	1	Machine Learning Engineer II, EU INTech - Exports, Emerging and Expansions
amazon-business	9	1	Manager, Data Engineering, Selling Partner Insights and Analytics
amazon-business	10	1	Network Dev Engineer II, ONE Access Engineering (LAN)
amazon-business	11	1	SDE 2, FMA - Featured Merchant Algorithm
amazon-business	12	1	SDE II, Global Trade (Level 5), Global Trade Foundations
amazon-business	13	1	SDE2, Amazon
amazon-business	14	1	Senior Software Dev Engineer (SDE-III), Amazon Business
amazon-business	15	1	Software Dev Engineer II, Accounting Engineering
amazon-business	16	1	Software Dev Engineer II, Cross Border Seller Programs
amazon-business	17	1	Software Dev Engineer II, Cross Border Tech
amazon-business	18	1	Software Dev Engineer II, EU INTech Partner Growth Experience
amazon-business	19	1	Software Dev Engineer II, EU INTech Partner Growth Experience, EU INTech Partner Growth Experience
amazon-business	20	1	Software Development Engineer
amazon-business	21	1	Software Development Engineer II, Affordability (Exchange)
amazon-business	22	1	Software Development Engineer II, Amazon Now (Tez)
amazon-business	23	1	Software Development Engineer II, Hardline FX (Wireless / H&B)
amazon-business	24	1	Software Development Engineer II, IN Pharmacy
amazon-business	25	1	Software Development Engineer II, India HealthCare
amazon-customer-service	1	1	Director Engineering, Associate Experience, Amazon Customer Service
amazon-security	1	4	Software Engineer, AppSTAR COMPASS
amazon-security	2	3	Senior Software Developer Engineer, AWS Compliance & Security Assurance
amazon-security	3	3	Software Development Engineer - Security Automation, AWS Security Epoxy
amazon-security	4	3	Software Development Engineer, AWS Security
amazon-security	5	3	Software Development Engineer, AWS Vulnerability Management (AVM)
amazon-security	6	3	Software Development Engineer, Amazon Integrated Security
amazon-security	7	2	Software Dev Engineer, Amazon Security Automation
amazon-security	8	2	Software Development Engineer II, AWS Compliance & Security Assurance, Denied Party Screening
amazon-security	9	2	Software Development Engineer II, Amazon Vulnerability Management Services
amazon-security	10	2	Software Development Engineer, Amazon Optics
amazon-security	11	2	Software Development Engineer, IAM Stores Security
amazon-security	12	2	Software Development Manager, Amazon Optics, Amazon Optics
amazon-security	13	2	Software Development Manager, Leo Security
amazon-security	14	1	Director IAM, Amazon Foundational Security Services
amazon-security	15	1	Manager III, Software Development
amazon-security	16	1	Manager III, Software Development, AWS Security
amazon-security	17	1	SDE, Responsible AI
amazon-security	18	1	SDEII - Threat Intel Systems, ACTI Engineering
amazon-security	19	1	Security Software Dev Engineer II, AWS Security Corporate Response
amazon-security	20	1	Senior Software Development Engineer - Security Automation, AWS Security OpRes
amazon-security	21	1	Senior Software Development Engineer, AWS Compliance & Security Assurance
amazon-security	22	1	Senior Software Development Engineer, AWS Security
amazon-security	23	1	Senior Software Development Engineer, Engagement Security
amazon-security	24	1	Senior Software Development Engineer, Leo Security
amazon-security	25	1	Senior Software Development Engineer, Security Automation, Capabilities, Corporate Services Security (CPSS)
amazongo	1	1	Software Development Manager III, Grocery Ordering
amazongo	2	1	Sr. Software Development Engineer, Payroll Tax & Accounting Tech
amazonian-experience-and-tech	1	2	Software Development Engineer, PXT Case Management System
amazonian-experience-and-tech	2	1	Software Development Engineer - II
amazonian-experience-and-tech	3	1	Sr. Software Dev Engineer, Verification Services
ats	1	1	DevOps Engineer, Veeqo
ats	2	1	Programmer/Analyst II, TFS Accounting Insights
ats	3	1	SDE II, ShipTech/Visibility
ats	4	1	Software Development Engineer II, TFS
ats	5	1	Software Development Engineer, Middle Mile P&O
ats	6	1	Software Development Engineer, Middle Mile Planning and Optimization (MMPO)
ats	7	1	Sr. Technical Program Manager, Ship With Amazon
ats	8	1	Technical Program Manager, Amazon Freight
aws	1	12	Software Development Engineer, AWS
aws	2	10	Software Development Engineer, AWS OpenSearch
aws	3	9	Associate Delivery Consultant – AIML, A2C ProServe Shared Delivery (SDT)
aws	4	9	Software Development Engineer
aws	5	7	Software Dev Engineer, AWS Elastic Container Service
aws	6	7	Software Development Engineer, Agentic Workspaces
aws	7	7	Software Development Engineer, Amazon Quick
aws	8	6	Software Development Engineer, AWS AppSync
aws	9	6	Software Development Engineer, AWS Central SDE Team
aws	10	6	Software Development Engineer, AWS Identity
aws	11	6	Software Development Engineer, AWS OpenSearch Service
aws	12	5	Software Development Engineer, AWS Config, AWS Config
aws	13	5	Software Development Engineer, Bottlerocket
aws	14	5	Software Development Engineer, S3 Index Control Plane
aws	15	4	Senior Software Development Engineer, Aurora PostgreSQL
aws	16	4	Software Dev Engineer II, Oracle Database@AWS
aws	17	4	Software Development Engineer II - Amazon MSK, Managed Streaming Kafka (MSK)
aws	18	4	Software Development Engineer II, AWS AI & Strategic Partner Engineering
aws	19	4	Software Development Engineer, AWS Database Migration Service
aws	20	4	Software Development Engineer, AWS Simple Queue Service (SQS)
aws	21	4	Software Development Engineer, Kiro
aws	22	4	Software Development Engineer, RDS SQL Server
aws	23	4	Software Development Engineer, STRADA
aws	24	4	Sr. Software Engineer- AI/ML, AWS Neuron Distributed Training
aws	25	4	Verification Engineer
business-and-corporate-development	1	1	Software Dev Engineer II, Amazon Fuse
business-and-corporate-development	2	1	Software Development Engineer, Amazon Fuse
consumer-payments	1	1	Software Dev Engineer II, Amazon 1P Credito, Payments
consumer-payments	2	1	Software Dev Engineer II, Brazil Payments
consumer-payments	3	1	Software Development Manager III, Amazon 1P Credito, Payments
consumer_engagement	1	3	Software Development Engineer, Personalization, Amazon Personalization
