source_id	parent_id	depth	author_year	title	provenance	access_url	rights	bibliography_status	status	note
merton-1957-priorities	stephan-2010-economics-of-science	1	Robert K. Merton (1957)	Priorities in Scientific Discovery	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Priority and recognition as scientific rewards; locate lawful full text and capture references.
merton-1968-matthew	stephan-2010-economics-of-science	1	Robert K. Merton (1968)	The Matthew Effect in Science	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Cumulative advantage and unequal recognition.
hagstrom-1965-scientific-community	stephan-2010-economics-of-science	1	Warren O. Hagstrom (1965)	The Scientific Community	BOOK-CONFIRMED; PUBLIC-PRECURSOR	https://openlibrary.org/works/OL7010039W/The_scientific_community	CONTROLLED-LENDING / DO-NOT-MIRROR	QUEUE	QUEUE	Recognition, exchange, sharing, publication, citations, and scientific community.
price-1986-little-science	stephan-2010-economics-of-science	1	Derek J. de Solla Price (1963/1986)	Little Science, Big Science ... and Beyond	BOOK-CONFIRMED; PUBLIC-PRECURSOR	https://openlibrary.org/works/OL5103177W/Little_science_big_science--_and_beyond	CONTROLLED-LENDING / DO-NOT-MIRROR	QUEUE	QUEUE	Growth, scale, publication, and organization of science.
cole-cole-1973-stratification	stephan-2010-economics-of-science	1	Jonathan R. Cole & Stephen Cole (1973)	Social Stratification in Science	PUBLIC-PRECURSOR	https://openlibrary.org/works/OL4967601W/Social_stratification_in_science	CONTROLLED-LENDING / DO-NOT-MIRROR	QUEUE	QUEUE	Unequal recognition, resources, positions, and careers.
ziman-1968-public-knowledge	stephan-2010-economics-of-science	1	John Ziman (1968)	Public Knowledge	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Communication and communal evaluation as constitutive of science.
polanyi-1962-republic	stephan-2010-economics-of-science	1	Michael Polanyi (1962)	The Republic of Science	PUBLIC-PRECURSOR	https://www.polanyisociety.org/mp-repsc.htm	PUBLIC-READ / DO-NOT-MIRROR	QUEUE	QUEUE	Authorized public reading copy; decentralized coordination and scientific autonomy.
arrow-1962-invention	stephan-2010-economics-of-science	1	Kenneth J. Arrow (1962)	Economic Welfare and the Allocation of Resources for Invention	PUBLIC-PRECURSOR	https://www.nber.org/books-and-chapters/rate-and-direction-inventive-activity-economic-and-social-factors/economic-welfare-and-allocation-resources-invention	PUBLIC-READ / DO-NOT-MIRROR	QUEUE	QUEUE	Information, uncertainty, disclosure, non-rival use, and reasons markets underprovide invention.
nelson-1959-basic-research	stephan-2010-economics-of-science	1	Richard R. Nelson (1959)	The Simple Economics of Basic Scientific Research	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Private underinvestment in basic research when benefits spill beyond the funder.
dasgupta-david-1994-new-economics	stephan-2010-economics-of-science	1	Partha Dasgupta & Paul A. David (1994)	Toward a New Economics of Science	PUBLIC-PRECURSOR	https://ideas.repec.org/a/eee/respol/v23y1994i5p487-521.html	PAYWALLED / SUMMARY-ONLY	QUEUE	QUEUE	Connects priority/openness institutions to the economics of knowledge.
blank-stigler-1957-personnel	stephan-2010-economics-of-science	1	David M. Blank & George J. Stigler (1957)	The Demand and Supply of Scientific Personnel	PUBLIC-PRECURSOR	https://www.nber.org/books-and-chapters/demand-and-supply-scientific-personnel	PUBLIC-READ / DO-NOT-MIRROR	QUEUE	QUEUE	Early systematic scientific labor-market analysis; NBER exposes chapter PDFs but retains copyright.
arrow-capron-1959-shortages	stephan-2010-economics-of-science	1	Kenneth J. Arrow & William M. Capron (1959)	Dynamic Shortages and Price Rises: The Engineer-Scientist Case	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Dynamic adjustment makes static shortage claims unreliable.
freeman-1975-manpower	stephan-2010-economics-of-science	1	Richard B. Freeman (1975)	Supply and Salary Adjustments to the Changing Science Manpower Market: Physics, 1948–1973	PUBLIC-PRECURSOR		RIGHTS-UNKNOWN / DO-NOT-MIRROR	QUEUE	QUEUE	Training lags, salary adjustment, and delayed supply response.
nrc-2000-forecasting	stephan-2010-economics-of-science	1	National Research Council (2000)	Forecasting Demand and Supply of Doctoral Scientists and Engineers	PUBLIC-PRECURSOR	https://www.nationalacademies.org/read/9865	PUBLIC-READ / DO-NOT-MIRROR	CAPTURE NEXT	QUEUE	Stephan calls this mandatory reading for forecasting; complete references are publicly readable on pp. 61–64.
fox-stephan-2001-careers	stephan-2010-economics-of-science	1	Mary Frank Fox & Paula Stephan (2001)	Careers of Young Scientists: Preferences, Prospects and Realities by Gender and Field	PUBLIC-PRECURSOR	https://journals.sagepub.com/doi/10.1177/030631201031001006	PAYWALLED / SUMMARY-ONLY	QUEUE	QUEUE	Desired careers versus expected opportunities among doctoral students.
stern-2004-pay-to-be-scientists	stephan-2010-economics-of-science	1	Scott Stern (2004)	Do Scientists Pay to Be Scientists?	PUBLIC-PRECURSOR	https://pubsonline.informs.org/doi/10.1287/mnsc.1040.0241	PAYWALLED / SUMMARY-ONLY	QUEUE	QUEUE	Scientists may accept lower wages for stronger opportunities to publish and do science.
adams-black-clemmons-stephan-2005	stephan-2010-economics-of-science	1	James Adams; Grant Black; Roger Clemmons; Paula Stephan (2005)	Scientific Teams and Institutional Collaborations	PUBLIC-PRECURSOR	https://www.nber.org/papers/w10640	PUBLIC-READ / DO-NOT-MIRROR	QUEUE	QUEUE	Growth and geographic spread of teams and institutional collaboration.
