geiger_book	citation_context	cited_author	cited_title	ia_identifier	ia_url	access_status	redistribute_here	verification_note
To Advance Knowledge	2003 introduction to 2004 reissue; explicit intellectual debt	Laurence R. Veysey	The Emergence of the American University	emergenceofameri0000veys	https://archive.org/details/emergenceofameri0000veys	Open Library: Preview Only	no	Exact IA identifier and edition verified through Open Library; no open redistribution license found
To Advance Knowledge	2003 reissue introduction	Robert A. McCaughey	Stand, Columbia: A History of Columbia University in the City of New York, 1754-2004	standcolumbiahis0000mcca	https://archive.org/details/standcolumbiahis0000mcca	Open Library: Preview Only	no	Exact IA record recovered from Open Library IA MARC source; bibliography pp. 583-689
To Advance Knowledge	2003 reissue introduction	Morton Keller; Phyllis Keller	Making Harvard Modern: The Rise of America's University	makingharvardmod0000kell	https://archive.org/details/makingharvardmod0000kell	IA item located; access rights not yet normalized	no	Exact IA identifier independently exposed in bibliographic citation; do not treat reachability as an open license
To Advance Knowledge	2003 reissue introduction	Mary Ann Dzuback	Robert M. Hutchins: Portrait of an Educator			Open Library/catalog record located; exact IA item not yet normalized	no	Keep blank rather than guess an identifier
To Advance Knowledge	2003 reissue introduction	William H. McNeill	Hutchins' University: A Memoir of the University of Chicago, 1929-1950	hutchinsuniversi0000mcne	https://archive.org/details/hutchinsuniversi0000mcne	Open Library: Preview Only	no	Exact IA record recovered from Open Library IA MARC source; references pp. 171-183
To Advance Knowledge	2003 reissue introduction	Winton U. Solberg	The University of Illinois, 1894-1904: The Shaping of the University			Catalog record located; exact IA item not yet normalized	no	University of Illinois Archives verifies title and publication; do not invent IA availability
To Advance Knowledge	2003 reissue introduction	John Aubrey Douglass	The California Idea and American Higher Education: 1850 to the 1960 Master Plan			Catalog/source references located; exact IA item not yet normalized	no	Book verified; exact IA book identifier not yet recovered
To Advance Knowledge	2003 reissue introduction	Julie A. Reuben	The Making of the Modern University: Intellectual Transformation and the Marginalization of Morality	makingofmodernun0000reub	https://archive.org/details/makingofmodernun0000reub	Open Library: Preview Only	no	Exact IA identifier verified through Open Library; references pp. 271-344
To Advance Knowledge	2003 reissue introduction	Jon H. Roberts; James Turner	The Sacred and the Secular University	sacredsecularuni00robe	https://archive.org/details/sacredsecularuni00robe	Open Library: Read/search-inside	no	Exact IA identifier verified; Read access is not itself an open redistribution license
To Advance Knowledge	2003 reissue introduction	Andrew Abbott	Department and Discipline: Chicago Sociology at One Hundred	departmentdiscip0000abbo	https://archive.org/details/departmentdiscip0000abbo	Open Library: Preview Only	no	Exact IA identifier verified through Open Library
