person	mad_ordinal	citation	publication_state	evidence_state	note
Augustin Banyaga	50	Banyaga, Augustin. Some properties of locally conformal symplectic structures. Comment. Math. Helv. 77 (2002), 383–398.	published	abstract_read	abstract independently checked
Augustin Banyaga	49	Banyaga, Augustin. On the geometry of locally conformal symplectic manifolds. Infinite Dimensional Lie Groups in Geometry and Representation Theory (2002), 79–91.	published	discovery_only	
Augustin Banyaga	48	Banyaga, Augustin; Donato, Paul. A note on isotopies of symplectic and Poisson structures. Infinite Dimensional Lie Groups in Geometry and Representation Theory (2002), 138–144.	published	discovery_only	
Augustin Banyaga	47	Banyaga, Augustin. A geometric integration of the extended Lee homomorphism. J. Geom. Phys. 39 (2001), 30–44.	published	discovery_only	
Augustin Banyaga	46	Banyaga, Augustin. Quelques invariants des structures localement conformément symplectiques. C. R. Acad. Sci. Paris Sér. I 332 (2001), 29–32.	published	discovery_only	
Augustin Banyaga	45	Banyaga, Augustin. On essential conformal groups and a conformal invariant. J. Geom. 68 (2000), 10–15.	published	discovery_only	
Augustin Banyaga	44	Banyaga, Augustin. Some geometrical structures underlying mechanics. Contemporary Problems in Mathematical Physics (2000), 109–117.	published	discovery_only	
Augustin Banyaga	43	Banyaga, Augustin; Ezin, J. P. A conformal invariant characterizing the standard sphere. Topics in Low-Dimensional Topology (1999), 93–97.	published	discovery_only	
Augustin Banyaga	42	Banyaga, Augustin. On Poisson diffeomorphisms. Analysis on Infinite Dimensional Lie Groups and Algebras (1999), 1–8.	published	discovery_only	
Augustin Banyaga	41	Banyaga, Augustin. The geometry surrounding the Arnold–Liouville theorem. Advances in Geometry, Progr. Math. 172 (1999), 53–69.	published	discovery_only	
Augustin Banyaga	40	Banyaga, Augustin. Isomorphisms between classical diffeomorphism groups. CRM Proc. Lecture Notes 15 (1998), 1–15.	published	discovery_only	
Augustin Banyaga	39	Banyaga, Augustin. K-contact flows. Encyclopedia of Mathematics, Supplement 1 (1997), 325–326.	published	discovery_only	
Augustin Banyaga	38	Banyaga, Augustin. Instantons and hypercontact structures. II. J. Geom. Phys. 21 (1997), 136–148.	published	discovery_only	
Augustin Banyaga	37	Banyaga, Augustin; de la Llave, Rafael; Wayne, C. Eugene. Cohomology equations near hyperbolic points and geometric versions of Sternberg linearization theorem. J. Geom. Anal. 6 (1996), 613–649 (1997).	published	discovery_only	
Augustin Banyaga	36	Banyaga, Augustin; Donato, Paul. Some remarks on the integration of the Poisson algebra. J. Geom. Phys. 19 (1996), 368–378.	published	discovery_only	
Augustin Banyaga	35	Banyaga, Augustin. Invariants of contact structures and transversally oriented foliations. Ann. Global Anal. Geom. 14 (1996), 427–441.	published	discovery_only	
Augustin Banyaga	34	Banyaga, Augustin. Instantons and hypercontact structures. J. Geom. Phys. 19 (1996), 267–276.	published	discovery_only	
Augustin Banyaga	33	Torre, Carlos A.; Banyaga, Augustin. A characterization of some coadjoint orbits of diffeomorphism subgroups. Cienc. Tecn. 17 (1993), 15–38 (1995).	published	discovery_only	
Augustin Banyaga	32	Banyaga, Augustin. An introduction to symplectic geometry. Progr. Math. 117 (1994), 17–40.	published	discovery_only	
Augustin Banyaga	31	Banyaga, Augustin; Golé, Christophe. A remark on a conjecture of Arnold: linking of spheres and fixed points. Hamiltonian Systems and Celestial Mechanics (1993), 23–30.	published	discovery_only	
Augustin Banyaga	30	Torre, Carlos A.; Banyaga, Augustin. A symplectic structure on coadjoint orbits of diffeomorphism subgroups. Cienc. Tecn. 17 (1993), 1–14 (1995).	published	discovery_only	
Augustin Banyaga	29	Banyaga, Augustin; McInerney, Andrew. On isomorphic classical diffeomorphism groups. III. Ann. Global Anal. Geom. 13 (1995), 117–127.	published	discovery_only	
Augustin Banyaga	28	Banyaga, Augustin. Quelques invariants de la géométrie de contact. C. R. Acad. Sci. Paris Sér. I Math. 318 (1994), 671–674.	published	discovery_only	
Augustin Banyaga	27	Banyaga, Augustin; Rukimbira, Philippe. On characteristics of circle invariant presymplectic forms. Proc. Amer. Math. Soc. 123 (1995), 3901–3906.	published	discovery_only	
Augustin Banyaga	26	Banyaga, Augustin. On the cohomology class of the action functional. Exposition. Math. 12 (1994), 371–379.	published	discovery_only	
Augustin Banyaga	25	Banyaga, Augustin; Rukimbira, Philippe. Weak stability of almost regular contact foliations. J. Geom. 50 (1994), 16–27.	published	discovery_only	
Augustin Banyaga	24	Banyaga, Augustin. On characteristics of hypersurfaces in symplectic manifolds. Proc. Sympos. Pure Math. 54, Part 2 (1993), 9–17.	published	discovery_only	
Augustin Banyaga	23	Banyaga, Augustin; Molino, Pierre. Géométrie des formes de contact complètement intégrables de type toriques. Séminaire Gaston Darboux (1993), 1–25.	published	discovery_only	
Augustin Banyaga	22	Banyaga, Augustin. A note on Weinstein's conjecture. Proc. Amer. Math. Soc. 109 (1990), 855–858.	published	discovery_only	
Augustin Banyaga	21	Banyaga, Augustin; de la Llave, Rafael; Wayne, C. Eugene. Cohomology equations and commutators of germs of contact diffeomorphisms. Trans. Amer. Math. Soc. 312 (1989), 755–778.	published	discovery_only	
Augustin Banyaga	20	Banyaga, Augustin. On isomorphic classical diffeomorphism groups. II. J. Differential Geom. 28 (1988), 23–35.	published	discovery_only	
Augustin Banyaga	19	Banyaga, Augustin. On isomorphic classical diffeomorphism groups. I. Proc. Amer. Math. Soc. 98 (1986), 113–118.	published	discovery_only	
Augustin Banyaga	18	Banyaga, Augustin. The Calabi invariant and the gauge groups. Symplectic Geometry and Mechanics (1985), 3–11.	published	discovery_only	
Augustin Banyaga	17	Banyaga, Augustin. The mass flow homomorphism and topological extensions of the group of homeomorphisms. Atti Accad. Sci. Torino 117 suppl. 1 (1983), 35–38.	published	discovery_only	
