person	mad_profile	mad_research_core_count	profile_list_label	profile_entries_visible	caveat
Augustin Banyaga	https://www.math.buffalo.edu/mad/PEEPS/banyaga_augustin.html	53	50 papers	50	profile bibliography appears numbered 1-50; profile says complete/updated list available from author
David Blackwell	https://www.math.buffalo.edu/mad/PEEPS/blackwell_david2.html	90	selected papers	80	profile says over 90 papers/books and near-complete list is in MathSciNet
Kevin Corlette	https://www.math.buffalo.edu/mad/PEEPS/corlette_kevin.html	12	selected publications	13	site research-core count and profile selected-list length disagree
Wilfrid Gangbo	https://www.math.buffalo.edu/mad/PEEPS/gangbo_wifrid.html	22	selected papers	20	items 14 and 15 are duplicate records for the same 1994 paper
Edray Goins	https://www.math.buffalo.edu/mad/PEEPS/goins_edrayh.html	6	publications	5	+ 5 papers in transition; do not count transition entries as published without later verification
Trachette Jackson	https://www.math.buffalo.edu/mad/PEEPS/jackson_trachette.html	13	papers	16	duplicates: 9/14, 12/15, and accepted-vs-published 16/6; 13 unique published works after obvious dedupe
William Massey	https://www.math.buffalo.edu/mad/PEEPS/massey_william.html	38	selected publications	36	profile text says more than 50 papers
Ronald E. Mickens	https://www.math.buffalo.edu/mad/PEEPS/mickens_ronalde.html	90	selected papers	84	profile text says 170 papers from 1968-1999; site list is selected
Katherine Okikiolu	https://www.math.buffalo.edu/mad/PEEPS/okikiolu_katherine.html	8	publications	9	site research-core count and profile list length disagree
Arlie O. Petters	https://www.math.buffalo.edu/mad/PEEPS/petters_arlie.html	26	selected publications	27	+ 2 in press at snapshot; profile explicitly says full list under construction and text says 30 papers
J. Ernest Wilkins, Jr.	https://www.math.buffalo.edu/mad/PEEPS/wilkns_jearnest.research.html	86	selected mathematics publications	44	profile says more than 100 papers overall, 46 mathematics records in Mathematical Reviews, plus at least 30 omitted physics/engineering papers
Scott W. Williams	https://www.math.buffalo.edu/mad/PEEPS/williams_scottw.html	32	research publications	28	+ 5 non-research publications on profile; separate vita says broader traditional-math list and profile text elsewhere says more than 40 papers
