name	field	mad_site_paper_count	coverage_state	note
Samson A. Adeleke	Applied Mathematics	11	discovery_only	
John O. Adeyeye	Continuum Mechanics	27	discovery_only	
Kenzu Abdella	Mathematical Physics	17	discovery_only	
Pascal Kossivi Adjamagbo	Algebra	24	discovery_only	
David I. Adu	Topological Semigroups	10	discovery_only	
Evans Afenya	Mathematical Biology	15	discovery_only	
Anthony Afuwape	Applied Mathematics	17	discovery_only	
Adebisi Agboola	Algebraic Geometry / Number Theory	11	discovery_only	
Akeem Adesina A. Agboola	Loops	10	discovery_only	
Elsayed Mohamed Ahmed	Mathematical Physics	58	discovery_only	
Oluska Akinyele	Functional Analysis	49	discovery_only	
Ghidewon Abay Asmerom	Combinatorics / Graph Theory	5	discovery_only	
Edet P. Akpan	Differential Equations	8	discovery_only	
Idris Assani	Ergodic Theory	35	discovery_only	
Reuben O. Ayeni	Mathematical Modelling	8	discovery_only	
Ezekiel O. Ayoola	Differential Equations	18	discovery_only	
Cherif Badji	Geometric Analysis	6	discovery_only	
Garth A. Baker	Numerical Analysis	22	discovery_only	
Richard L. Baker	Analysis / Operator Algebras	10	discovery_only	
Bola Olujide Balogun	Algebra	8	discovery_only	
Gaspard Bangerezako	Mathematical Physics	5	discovery_only	
Augustin Banyaga	Differential Topology	53	discovery_only	
Curtis Barefoot	Combinatorics	22	discovery_only	
Earl R. Barnes	Applied Mathematics / Operations Research	32	discovery_only	
David Bekolle	Classical Analysis	23	discovery_only	
Charles B. Bell, Jr.	Statistics	39	discovery_only	
Daniel E. Bentil	Applied Mathematics / Biophysics	8	discovery_only	
Shiferaw Berhanu	Complex Analysis	16	discovery_only	
Albert Turner Bharucha-Reid	Analysis / Statistics	80	discovery_only	
David Blackwell	Statistics	90	discovery_only	
Kbenesh W. Blayneh	Mathematical Biology	9	discovery_only	
Michel Nguiffo Boyom		21	discovery_only	
Emery Brown	Biostatistics / Medicine	40	discovery_only	
Johnny E. Brown	Complex Analysis	24	discovery_only	
Nöel Bryson	Applied Mathematics / Operations Research	38	discovery_only	
Ron Buckmire	Applied Mathematics	5	discovery_only	
Charles C. Cadogan	Combinatorics	19	discovery_only	
Charles E. Chidume	Applied Mathematics	46	discovery_only	
Ethelbert Chukwu	Applied Mathematics	75	discovery_only	
Jessie Paul Clay	Topology	6	discovery_only	
Dominic Clemence	Analysis	11	discovery_only	
Kevin Corlette	Differential Geometry	12	discovery_only	
Charles G. Costley	Analysis	8	discovery_only	
James H. Curry	Applied Mathematics	18	discovery_only	
Louis Dale	Algebra	21	discovery_only	
Patrick Darko	Geometric Analysis	18	discovery_only	
Nathaniel Dean	Graph Theory / Applied Mathematics	45	discovery_only	
Lloyd Demetrius	Mathematical Biology	41	discovery_only	
Joseph Dennis		5	discovery_only	
Galaye Dia	Statistics	6	discovery_only	
Toka Diagana	Functional Analysis	16	discovery_only	
James A. Donaldson	Analysis / History	18	discovery_only	
Francisco Antonio Doria	Mathematical Physics / Logic / Philosophy of Science	65	discovery_only	
Heneri Dzinotyiweyi	Topological Semigroups	33	discovery_only	
